date,hospital,17-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,other,total
2006-01-01,Hospital Sultanah Nora Ismail,21,2,2,3,6,1,0,0,1,0,36
2006-01-01,Hospital Sultanah Aminah,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Sultanah Bahiyah,0,0,0,1,0,0,0,0,0,0,1
2006-01-01,,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Raja Perempuan Zainab II,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Melaka,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Tuanku Jaafar,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Tengku Ampuan Afzan,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Sultan Haji Ahmad Shah,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Seberang Jaya,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Pulau Pinang,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Raja Permaisuri Bainun,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Taiping,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Seri Manjung,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Tengku Ampuan Rahimah,1,0,0,0,0,0,0,0,0,0,1
2006-01-01,Hospital Sultanah Nur Zahirah,1,1,0,0,0,0,0,0,0,0,2
2006-01-01,Hospital Queen Elizabeth II,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Duchess Of Kent,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Tawau,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Umum Sarawak,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Miri,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Hospital Sibu,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,Pusat Darah Negara,101,28,29,14,18,6,5,2,0,0,203
2006-01-02,Hospital Sultanah Nora Ismail,1,2,0,0,0,0,0,0,0,0,3
2006-01-02,Hospital Sultanah Aminah,0,0,0,0,0,0,1,0,0,0,1
2006-01-02,,0,0,0,0,0,0,0,0,0,0,0
2006-01-02,Hospital Sultanah Bahiyah,0,0,0,0,0,0,0,0,0,0,0
2006-01-02,,0,0,0,0,0,0,0,0,0,0,0
2006-01-02,Hospital Raja Perempuan Zainab II,0,0,0,0,0,0,0,0,0,0,0
2006-01-02,Hospital Melaka,0,0,0,0,0,0,0,0,0,0,0
2006-01-02,Hospital Tuanku Jaafar,0,0,0,0,0,0,0,0,0,0,0
2006-01-02,,0,0,0,0,0,0,0,0,0,0,0
2006-01-02,Hospital Tengku Ampuan Afzan,2,4,1,0,0,1,1,0,0,0,9
