date,state,17-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,other,total
2006-01-01,Malaysia,124,31,31,18,24,7,5,2,1,0,243
2006-01-02,Malaysia,16,15,11,8,19,6,6,2,0,0,83
2006-01-03,Malaysia,1,2,1,2,1,0,0,1,0,0,8
2006-01-04,Malaysia,171,35,27,13,16,16,6,1,0,1,286
2006-01-05,Malaysia,219,41,22,13,16,8,8,1,0,0,328
2006-01-06,Malaysia,130,11,9,4,7,1,0,0,0,0,162
2006-01-07,Malaysia,17,13,11,3,7,2,0,0,0,0,53
2006-01-08,Malaysia,214,43,30,40,23,11,7,0,0,0,368
2006-01-09,Malaysia,222,11,6,6,2,1,1,0,0,0,249
2006-01-10,Malaysia,0,0,0,0,0,0,0,0,0,0,0
2006-01-11,Malaysia,339,20,9,7,7,3,0,0,0,0,385
2006-01-12,Malaysia,536,96,24,27,11,8,5,1,0,0,708
2006-01-13,Malaysia,113,20,15,7,6,6,3,2,0,0,172
2006-01-14,Malaysia,102,58,25,28,19,6,0,1,1,0,240
2006-01-15,Malaysia,118,83,47,27,36,28,11,13,0,0,363
2006-01-16,Malaysia,320,57,6,12,10,4,2,1,0,0,412
2006-01-17,Malaysia,806,116,68,28,24,15,16,8,0,0,1081
2006-01-18,Malaysia,376,94,51,63,77,24,7,1,0,1,694
2006-01-19,Malaysia,495,145,69,59,25,18,6,3,0,0,820
2006-01-20,Malaysia,290,89,56,44,23,6,6,1,0,0,515
2006-01-21,Malaysia,179,40,35,21,21,14,5,1,0,0,316
2006-01-22,Malaysia,260,48,23,17,15,6,6,3,0,0,378
2006-01-23,Malaysia,137,37,18,20,13,6,1,1,0,0,233
2006-01-24,Malaysia,469,51,30,28,35,20,10,2,0,1,646
2006-01-25,Malaysia,560,32,13,5,6,1,0,0,1,0,618
2006-01-26,Malaysia,573,46,26,18,23,20,11,10,0,0,727
2006-01-27,Malaysia,15,5,4,2,4,3,2,0,0,0,35
2006-01-28,Malaysia,5,8,2,2,5,1,2,0,0,0,25
2006-01-29,Malaysia,0,0,0,0,0,0,0,0,0,0,0
2006-01-30,Malaysia,10,8,7,4,1,2,0,0,0,0,32
2006-01-31,Malaysia,16,11,9,9,9,4,1,0,0,0,59
2006-02-01,Malaysia,45,35,32,21,9,9,2,1,0,0,154
2006-02-02,Malaysia,127,24,8,11,11,4,2,0,0,0,187
2006-02-03,Malaysia,73,6,9,5,4,1,0,0,0,0,98
2006-02-04,Malaysia,181,28,9,8,2,1,0,1,0,0,230
2006-02-05,Malaysia,52,25,30,20,26,11,4,2,0,0,170
2006-02-06,Malaysia,384,18,8,7,2,2,3,1,0,0,425
2006-02-07,Malaysia,263,105,85,40,39,17,8,3,0,0,560
2006-02-08,Malaysia,919,82,66,43,37,25,6,3,1,1,1183
2006-02-09,Malaysia,417,146,94,57,42,30,15,3,0,1,805
2006-02-10,Malaysia,200,152,137,126,84,61,36,8,0,0,804
2006-02-11,Malaysia,629,337,266,267,251,137,69,20,3,1,1980
2006-02-12,Malaysia,176,49,33,47,31,22,9,5,0,0,372
2006-02-13,Malaysia,48,4,8,1,4,2,1,1,0,0,69
2006-02-14,Malaysia,76,42,26,22,17,4,5,0,0,2,194
